[0.007s][info][gc] Using Concurrent Mark Sweep
[0.007s][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.069s][info][safepoint    ] Entering safepoint region: EnableBiasedLocking
[0.070s][info][safepoint    ] Leaving safepoint region
[0.070s][info][safepoint    ] Total time for which application threads were stopped: 0.0001376 seconds, Stopping threads took: 0.0000545 seconds
[0.073s][info][safepoint    ] Application time: 0.0029693 seconds
[0.073s][info][safepoint    ] Entering safepoint region: RevokeBias
[0.073s][info][safepoint    ] Leaving safepoint region
[0.073s][info][safepoint    ] Total time for which application threads were stopped: 0.0000779 seconds, Stopping threads took: 0.0000241 seconds
[0.164s][info][safepoint    ] Application time: 0.0909903 seconds
[0.164s][info][safepoint    ] Entering safepoint region: Deoptimize
[0.164s][info][safepoint    ] Leaving safepoint region
[0.164s][info][safepoint    ] Total time for which application threads were stopped: 0.0000705 seconds, Stopping threads took: 0.0000080 seconds
[1.164s][info][safepoint    ] Application time: 1.0001019 seconds
[1.164s][info][safepoint    ] Entering safepoint region: Cleanup
[1.164s][info][safepoint    ] Leaving safepoint region
[1.164s][info][safepoint    ] Total time for which application threads were stopped: 0.0001338 seconds, Stopping threads took: 0.0000115 seconds
[1.398s][info][safepoint    ] Application time: 0.2333793 seconds
[1.398s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.398s][info][safepoint    ] Leaving safepoint region
[1.398s][info][safepoint    ] Total time for which application threads were stopped: 0.0001615 seconds, Stopping threads took: 0.0000094 seconds
[1.436s][info][safepoint    ] Application time: 0.0379291 seconds
[1.436s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.436s][info][safepoint    ] Leaving safepoint region
[1.436s][info][safepoint    ] Total time for which application threads were stopped: 0.0001647 seconds, Stopping threads took: 0.0000084 seconds
[1.486s][info][safepoint    ] Application time: 0.0495998 seconds
[1.486s][info][safepoint    ] Entering safepoint region: Deoptimize
[1.486s][info][safepoint    ] Leaving safepoint region
[1.486s][info][safepoint    ] Total time for which application threads were stopped: 0.0001765 seconds, Stopping threads took: 0.0000085 seconds
[2.414s][info][safepoint    ] Application time: 0.9279000 seconds
[2.414s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.414s][info][safepoint    ] Leaving safepoint region
[2.414s][info][safepoint    ] Total time for which application threads were stopped: 0.0001929 seconds, Stopping threads took: 0.0000091 seconds
[2.578s][info][safepoint    ] Application time: 0.1639206 seconds
[2.578s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.578s][info][safepoint    ] Leaving safepoint region
[2.578s][info][safepoint    ] Total time for which application threads were stopped: 0.0003166 seconds, Stopping threads took: 0.0000089 seconds
[2.856s][info][safepoint    ] Application time: 0.2780519 seconds
[2.856s][info][safepoint    ] Entering safepoint region: ICBufferFull
[2.856s][info][safepoint    ] Leaving safepoint region
[2.856s][info][safepoint    ] Total time for which application threads were stopped: 0.0001734 seconds, Stopping threads took: 0.0000081 seconds
[2.981s][info][safepoint    ] Application time: 0.1244090 seconds
[2.981s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.981s][info][safepoint    ] Leaving safepoint region
[2.981s][info][safepoint    ] Total time for which application threads were stopped: 0.0003485 seconds, Stopping threads took: 0.0000081 seconds
[2.989s][info][safepoint    ] Application time: 0.0075029 seconds
[2.989s][info][safepoint    ] Entering safepoint region: Deoptimize
[2.989s][info][safepoint    ] Leaving safepoint region
[2.989s][info][safepoint    ] Total time for which application threads were stopped: 0.0002897 seconds, Stopping threads took: 0.0000079 seconds
[3.111s][info][safepoint    ] Application time: 0.1219893 seconds
[3.111s][info][safepoint    ] Entering safepoint region: Deoptimize
[3.111s][info][safepoint    ] Leaving safepoint region
[3.111s][info][safepoint    ] Total time for which application threads were stopped: 0.0003598 seconds, Stopping threads took: 0.0000078 seconds
[3.271s][info][safepoint    ] Application time: 0.1597792 seconds
[3.271s][info][safepoint    ] Entering safepoint region: ICBufferFull
[3.271s][info][safepoint    ] Leaving safepoint region
[3.271s][info][safepoint    ] Total time for which application threads were stopped: 0.0001573 seconds, Stopping threads took: 0.0000312 seconds
[3.463s][info][safepoint    ] Application time: 0.1910501 seconds
[3.463s][info][safepoint    ] Entering safepoint region: Deoptimize
[3.463s][info][safepoint    ] Leaving safepoint region
[3.463s][info][safepoint    ] Total time for which application threads were stopped: 0.0003549 seconds, Stopping threads took: 0.0000077 seconds
[3.553s][info][safepoint    ] Application time: 0.0905790 seconds
[3.554s][info][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.554s][info][safepoint    ] Leaving safepoint region
[3.554s][info][safepoint    ] Total time for which application threads were stopped: 0.0002569 seconds, Stopping threads took: 0.0000632 seconds
[3.626s][info][safepoint    ] Application time: 0.0726589 seconds
[3.626s][info][safepoint    ] Entering safepoint region: GenCollectForAllocation
[3.627s][info][gc,start     ] GC(0) Pause Young (Allocation Failure)
[3.627s][info][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[3.676s][debug][gc,ref       ] GC(0) Skipped phase1 of Reference Processing due to unavailable references
[3.676s][debug][gc,ref       ] GC(0) Skipped phase3 of Reference Processing due to unavailable references
[3.677s][debug][gc,age       ] GC(0) Desired survivor size 15368192 bytes, new threshold 1 (max threshold 6)
[3.677s][info ][gc,heap      ] GC(0) ParNew: 240320K->30015K(270336K)
[3.677s][info ][gc,heap      ] GC(0) CMS: 0K->2704K(600768K)
[3.677s][info ][gc,metaspace ] GC(0) Metaspace: 20608K->20608K(1069056K)
[3.677s][info ][gc           ] GC(0) Pause Young (Allocation Failure) 234M->31M(850M) 49.996ms
[3.677s][info ][gc,cpu       ] GC(0) User=0.19s Sys=0.00s Real=0.05s
[3.677s][info ][safepoint    ] Leaving safepoint region
[3.677s][info ][safepoint    ] Total time for which application threads were stopped: 0.0501263 seconds, Stopping threads took: 0.0000080 seconds
[3.677s][info ][safepoint    ] Application time: 0.0001172 seconds
[3.677s][info ][safepoint    ] Entering safepoint region: CMS_Initial_Mark
[3.677s][info ][gc,start     ] GC(1) Pause Initial Mark
[3.685s][info ][gc           ] GC(1) Pause Initial Mark 36M->36M(850M) 7.675ms
[3.685s][info ][gc,cpu       ] GC(1) User=0.03s Sys=0.00s Real=0.01s
